C1:1
C10:1
C101:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
CBP1:1
D1:1
F1:1
FB1:1
FLASH1:1
GP23_LED1:1
GPIO24_RESISTOR1:1
GPIO25_LED1:1
GPIO25_RESISTOR1:1
J1:1
J2:1
J3:1
J4:1
J5:1
L1:1
NT1:1
Q1:1
R1:1
R101:1
R102:1
R103:1
R11:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
REF**:3
RSW1:1
TP1:1
TP2:1
TP3:1
U1:1
U3:1
Y1:1
